Code,Year,Problem,Assigned,Implementation,Validation,Extra Instances,Restarts,# New,CompH,CompHP,CompE,Type,Source Code?,Termination,Notes,LS,LR,Journal,Citations,Method,Classification,Graphs,Model,NumInst,NumAccessible,Model,Processor,RAM,OS,Lang./Compiler,Compiler Flags,Publish code,
glover1998a,1998,QUBP,John,Done,,,Added RR (TS),1,1,1,*1,Same computer,Yes -- P+R,Different,CS not counted,,,Management Science,148,Tabu search,TS,a-f,Pentium 90 PC / VAX Alpha 2100 model 300,45,45,Pentium 90 PC / VAX Alpha 2100 model 300,,,,,,,
festa2002 ,2002,MAXCUT ,John ,Done,Added,,Already used RR,6,1,1,0,Same computer,Yes -- circut,Different,,,* ,Optimization Methods and Software ,136,"GRASP, VNS, Path-Relinking ",1 ILS; 2 VNS; 1 SS/PR; 2 hybrid,G (24_50); sg (20); torus (1),SGI Challenge,45,45,SGI Challenge,28x 196 MHz MIPS R10000,7.6 GB,SGI,Fortran 77,#VALUE!,,
beasley1998,1998,QUBP,Iain,Done,Added,,"Added RR (TS, SA)",2,2,2,0,Results tables + Dongarra,,Different,,,,"(Technical report, Imperial College)",127,"Tabu search, simulated annealing",TS; SA,"a-f, beasley",Silicon Graphics Indigo R4000,105,105,Silicon Graphics Indigo R4000,100 MHz,48 MB,,,,,
burer2002 ,2002,MAXCUT ,John ,Done,Added,,Already used RR,1,3,3,*2,Mixed (2/1); DSDP is diff,Mixed (yes for SBmethod and Harmann),Different,,,,SIAM Journal on Optimization ,124,Rank-2 relaxation of SDP (nonlinear opt) ,nonlinear,torus; G (27_81); sg (20),SGI Origin2000,47,47,SGI Origin2000,16x 300 MHz R12000,,,Fortran 90,,YES (not mentioned in paper),
merz2002 ,2002,QUBP ,John,Done,Added,kb,Already used RR,4,2,2,0,Results tables,,Different,,,*,Journal of Heuristics ,96,"Randomized greedy construction, k-opt, and 1-opt",3 ILS; 1 randomized greedy,"a-g, beasley",Pentium II PC,115,115,Pentium II PC,300 MHz,,Solaris 2.6,C++,,,
lodi1999,1999,QUBP,Iain,Done,,,Already handled (restart criterion),1,5,2,*,Results tables,,Different,,,,European Journal of Operations Research ,88,Evolutionary algorithm ,memetic,a-f,Silicon Graphics INDY R10000sc,45,45,Silicon Graphics INDY R10000sc,195 MHz,,,ANSI C,,,
merz2004,2004,QUBP,John,Done,Added,,Already handled (restart criterion),1,6,5,0,Results tables,,Different,,,,BioSystems,83,Memetic algorithm,memetic,f-g; beasley 1000-2500,Sun Ultra 5/10,35,35,Sun Ultra 5/10,UltraSparc-IIi 440 MHz,,Solaris 8,C (gcc),#VALUE!,,
palubeckis2004b ,2004,QUBP ,John,Done,Added,,MST1-3 and STS already use RR; Added RR for MST4-5,6,5,4,0,Results tables,,Different,,,* ,Annals of Operations Research ,79,Multistart tabu search ,6 TS,f; beasley 1000-2500; p3-6,Pentium II 266 PC / Pentium III 800 PC,43,43,Pentium II 266 PC / Pentium III 800 PC,,,,C,,YES,
merz1999 ,1999,QUBP ,Iain,Done,Added,,Already handled (restart criterion),3,1,1,0,Results tables,,Different,,,* ,GECCO 1999 ,75,Genetic algorithm ,3 memetic/genetic,"a-f, beasley 500-2500",Pentium II PC,75,75,Pentium II PC,300 MHz,,Solaris 2.6,C++,,,
katayama2001a,2001,QUBP,Iain,Done,Added,,Added RR (SA),1,3,2,0,Results tables,,Different,,,* ,European Journal of Operations Research ,70,statistical cooling: a general approach to combinatorial optimization problems,SA,"f, beasley 500-2500",Sun Ultra 5/10,35,35,Sun Ultra 5/10,UltraSparc-IIi 440 MHz,,Solaris 7,C (gcc),#VALUE!,,
korst1989 ,1989,MAXCUT ,John,Pretty suspicious,[random graphs],,,,0,0,0,---,,---,,,* ,Journal of Parallel and Distributed Computing ,50,"Parallel neural network, sequential simulated annealing ",,random,VAX 11/785,25,0,VAX 11/785,,,,PASCAL,,,
amini1999,1999,QUBP,[skip],,,,,,0,0,0,---,,---,,,,New Ideas in Optimization,49,Scatter Search ,,a-i; QK a-f; Nugent (QA),,114,114,,,,,,,,
