fname,n,m,comments
G55.zip,5000,12498,NAME: G55 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G56.zip,5000,12498,NAME: G56 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G57.zip,5000,10000,NAME: G57 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G58.zip,5000,29570,NAME: G58 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G59.zip,5000,29570,NAME: G59 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G60.zip,7000,17148,NAME: G60 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G61.zip,7000,17148,NAME: G61 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G62.zip,7000,14000,NAME: G62 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G63.zip,7000,41459,NAME: G63 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G64.zip,7000,41459,NAME: G64 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G65.zip,8000,16000,NAME: G65 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G66.zip,9000,18000,NAME: G66 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G67.zip,10000,20000,NAME: G67 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G70.zip,10000,9999,NAME: G70 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G72.zip,10000,20000,NAME: G72 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G77.zip,14000,28000,NAME: G77 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
G81.zip,20000,40000,NAME: G81 || COMMENT: G-set problem instance downloaded from http://web.stanford.edu/~yyye/yyye/Gset/.
be100.1.zip,101,564,NAME: be100.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.10.zip,101,585,NAME: be100.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.2.zip,101,582,NAME: be100.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.3.zip,101,590,NAME: be100.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.4.zip,101,575,NAME: be100.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.5.zip,101,559,NAME: be100.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.6.zip,101,610,NAME: be100.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.7.zip,101,569,NAME: be100.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.8.zip,101,592,NAME: be100.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be100.9.zip,101,602,NAME: be100.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.1.zip,1001,50458,NAME: be1000.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.10.zip,1001,50028,NAME: be1000.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.2.zip,1001,50479,NAME: be1000.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.3.zip,1001,50696,NAME: be1000.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.4.zip,1001,50617,NAME: be1000.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.5.zip,1001,50492,NAME: be1000.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.6.zip,1001,50865,NAME: be1000.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.7.zip,1001,50402,NAME: be1000.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.8.zip,1001,50462,NAME: be1000.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be1000.9.zip,1001,50500,NAME: be1000.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.1.zip,251,3339,NAME: be250.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.10.zip,251,3295,NAME: be250.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.2.zip,251,3285,NAME: be250.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.3.zip,251,3313,NAME: be250.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.4.zip,251,3397,NAME: be250.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.5.zip,251,3364,NAME: be250.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.6.zip,251,3433,NAME: be250.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.7.zip,251,3337,NAME: be250.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.8.zip,251,3265,NAME: be250.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be250.9.zip,251,3395,NAME: be250.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.1.zip,2501,312971,NAME: be2500.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.10.zip,2501,311640,NAME: be2500.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.2.zip,2501,311724,NAME: be2500.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.3.zip,2501,311326,NAME: be2500.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.4.zip,2501,311694,NAME: be2500.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.5.zip,2501,311862,NAME: be2500.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.6.zip,2501,311205,NAME: be2500.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.7.zip,2501,312496,NAME: be2500.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.8.zip,2501,311577,NAME: be2500.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be2500.9.zip,2501,312240,NAME: be2500.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.1.zip,51,158,NAME: be50.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.10.zip,51,158,NAME: be50.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.2.zip,51,170,NAME: be50.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.3.zip,51,182,NAME: be50.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.4.zip,51,161,NAME: be50.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.5.zip,51,181,NAME: be50.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.6.zip,51,151,NAME: be50.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.7.zip,51,174,NAME: be50.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
