graphname,clust_min,clust_max,clust_mean,clust_stdev,clust_const,deg_min,deg_max,deg_mean,deg_stdev,deg_const,percent_pos,weight_min,weight_max,weight_mean,weight_stdev,weight_const,chromatic,disconnected,assortativity,avg_neighbor_deg_min,avg_neighbor_deg_max,avg_neighbor_deg_mean,avg_neighbor_deg_stdev,avg_neighbor_deg_const,avg_deg_conn_min,avg_deg_conn_max,avg_deg_conn_mean,avg_deg_conn_stdev,avg_deg_conn_const,core_min,core_max,core_mean,core_stdev,core_const,mis,clust_log_kurtosis,deg_log_kurtosis,weight_log_kurtosis,avg_neighbor_deg_log_kurtosis,avg_deg_conn_log_kurtosis,core_log_kurtosis,clust_log_abs_skew,deg_log_abs_skew,weight_log_abs_skew,avg_neighbor_deg_log_abs_skew,avg_deg_conn_log_abs_skew,core_log_abs_skew,clust_skew_positive,deg_skew_positive,weight_skew_positive,avg_neighbor_deg_skew_positive,avg_deg_conn_skew_positive,core_skew_positive,log_n,log_m,log_norm_ev1,log_norm_ev2,log_ev_ratio,clust_time,degree_time,ppos_time,weight_time,ev_time,chromatic_time,disconnected_time,assortativity_time,avg_neighbor_deg_time,avg_deg_conn_time,core_time,mis_time
p7000_3.zip,0.995023,0.99503,0.995027,1.35656e-06,0,0.991571,1,0.995026,0.000837882,0,0.499937,-0.833004,1,6.57306e-07,0.00485366,0,0.485645,0,0.999999,0.995025,0.995031,0.995027,7.49028e-07,0,0.995026,0.995029,0.995027,6.07776e-07,0,0.991571,0.991714,0.991714,1.70723e-06,0,0.000285673,1.41568,1.43389,8.45151,1.41025,1.435,8.85367,0.218732,0.151613,1.41762,0.180861,0.177999,4.43857,1,0,1,1,1,0,8.85381,17.0093,5.56651,2.17715,3.38936,4.18761,0.00012,0.079374,0.85508,3.31805,0.383711,587.99,1.11834,0.161878,0.894244,0.150185,0.000654
p7000_2.zip,0.795859,0.796193,0.796036,7.01869e-05,0,0.780286,1,0.796033,0.00538123,0,0.49999,-0.862649,1,3.18286e-07,0.00566076,0,0.183974,0,0.999953,0.79596,0.79617,0.79607,2.88529e-05,0,0.796004,0.796131,0.79607,1.3427e-05,0,0.780286,0.781143,0.781142,1.87727e-05,0,0.00085702,1.45589,5.69609,8.23784,1.3744,2.37694,7.25624,0.0528877,2.17145,0.461019,0.0667717,0.219239,3.63059,0,1,1,0,1,0,8.85381,16.7862,5.22741,4.34279,0.884627,2.71935,0.000122,0.058592,0.728368,2.67001,0.232511,383.074,0.985148,0.133446,0.707461,0.137514,0.000712
p7000_1.zip,0.497365,0.498391,0.497962,0.000183109,0,0.476714,1,0.497783,0.00849101,0,0.499937,-0.910726,1,1.87928e-07,0.00733744,0,0.0912727,0,0.999572,0.497666,0.498232,0.497928,7.27269e-05,0,0.497711,0.498135,0.497927,4.06951e-05,0,0.476714,0.479857,0.479852,8.97315e-05,0,0.00171404,1.91573,7.4673,7.73685,1.40972,2.66246,6.50106,0.644796,3.41895,0.778768,0.0004425,0.0500934,3.21172,0,1,1,1,1,0,8.85381,16.3167,5.23014,4.8913,0.338835,1.08965,0.000118,0.035126,0.422245,1.66955,0.129937,152.06,0.532778,0.085241,0.44719,0.085549,0.00071
p6000_3.zip,0.995029,0.995036,0.995032,1.7249e-06,0,0.991333,1,0.995032,0.000906603,0,0.500009,-0.991956,1,1.59375e-07,0.00575572,0,0.486252,0,0.999999,0.995029,0.995037,0.995033,8.81691e-07,0,0.995031,0.995034,0.995033,6.56726e-07,0,0.991333,0.9915,0.9915,3.04214e-06,0,0.000499917,1.24534,1.41511,8.31143,1.42956,1.2921,8.0062,0.303632,0.177417,0.970897,0.123638,0.247426,4.02087,1,0,1,1,0,0,8.69968,16.7011,4.92743,4.52054,0.406896,3.09587,9.8e-05,0.056497,0.682486,2.44588,0.266509,371.687,0.935121,0.11995,0.647558,0.111336,0.000558
p6000_2.zip,0.795843,0.796088,0.795966,5.15541e-05,0,0.777,1,0.795947,0.00574957,0,0.500059,-1,0.846767,-6.41247e-07,0.00587479,0,0.185802,0,0.999945,0.795849,0.7961,0.795988,3.27959e-05,0,0.795913,0.796037,0.795988,1.42561e-05,0,0.777,0.7795,0.779499,4.01768e-05,0,0.000999833,1.45657,5.58837,8.05193,1.39945,2.31169,7.92759,0.00969777,2.13216,0.730318,0.0428151,0.714939,3.92356,0,1,0,0,0,0,8.69968,16.4778,5.43573,3.87488,1.56085,1.9829,0.000104,0.038299,0.480891,1.94365,0.171279,241.177,0.588501,0.096149,0.522085,0.096389,0.000583
p6000_1.zip,0.497398,0.498274,0.497771,0.000209043,0,0.477,1,0.497695,0.00910715,0,0.499878,-0.886838,1,7.92736e-07,0.00756927,0,0.0929845,0,0.999455,0.497564,0.498179,0.497861,8.41243e-05,0,0.497611,0.498114,0.497857,4.38479e-05,0,0.477,0.479167,0.479164,6.90506e-05,0,0.00233294,1.28274,7.34203,7.56617,1.38225,2.81526,6.55813,0.250997,3.36567,0.424302,0.0264761,0.244083,3.28613,1,1,1,0,0,0,8.69968,16.0083,5.53243,4.42028,1.11215,0.79212,0.000111,0.030067,0.332284,1.22743,0.097283,95.6245,0.442893,0.062372,0.332098,0.066074,0.000618
p5000_5.zip,0.99504,0.99505,0.995043,1.94745e-06,0,0.9914,1,0.995043,0.00100348,0,0.499758,-0.978365,1,2.17679e-06,0.00682979,0,0.491302,0,0.999999,0.99504,0.995048,0.995044,1.06956e-06,0,0.995042,0.995046,0.995044,8.81604e-07,0,0.9914,0.9914,0.9914,0,1,0.00039992,1.77083,1.39774,8.12834,1.37933,1.44065,0,0.604945,0.153402,1.31066,0.161582,0.153278,0,1,0,1,1,1,1,8.51739,16.3365,5.9397,3.43309,2.50661,2.19302,9.4e-05,0.035854,0.42931,1.45363,0.195429,217.527,0.540992,0.081684,0.451607,0.075667,0.000439
p5000_4.zip,0.995012,0.995019,0.995015,1.64679e-06,0,0.9906,1,0.995015,0.00100315,0,0.500056,-1,0.959431,-2.986e-07,0.00697675,0,0.491102,0,0.999999,0.995012,0.99502,0.995016,1.0952e-06,0,0.995014,0.995018,0.995016,9.91367e-07,0,0.9906,0.9906,0.9906,0,1,0.00039992,1.44325,1.44522,8.08442,1.403,1.1887,0,0.463926,0.223386,0.665585,0.189105,0.115862,0,1,0,0,1,0,1,8.51739,16.3364,4.98906,4.46414,0.524912,2.13984,0.000101,0.035736,0.429419,1.68225,0.213188,216.806,0.536748,0.081636,0.451552,0.079316,0.000479
p5000_3.zip,0.796032,0.796458,0.796239,0.000100142,0,0.7742,1,0.796201,0.00642421,0,0.500215,-1,0.915519,-2.47461e-06,0.00673489,0,0.191162,0,0.999928,0.796095,0.796395,0.796253,4.11383e-05,0,0.79616,0.79635,0.796253,2.31536e-05,0,0.7742,0.7776,0.777596,8.48028e-05,0,0.00159968,1.37081,5.3254,7.87922,1.40574,2.22862,6.77492,0.100056,1.99619,1.29481,0.0151587,0.240732,3.35491,0,1,0,1,1,0,8.51739,16.1135,6.03942,3.5531,2.48631,1.4235,9.7e-05,0.032058,0.365974,1.17028,0.12455,139.393,0.463145,0.069465,0.362084,0.069842,0.000494
p5000_2.zip,0.795924,0.796192,0.796082,6.02449e-05,0,0.7742,1,0.796058,0.00636315,0,0.499885,-0.961389,1,1.25578e-06,0.00752129,0,0.190162,0,0.999929,0.795958,0.796263,0.796109,4.07095e-05,0,0.796017,0.796199,0.796108,1.74835e-05,0,0.7742,0.7784,0.778398,7.34468e-05,0,0.00119976,1.49281,5.36559,7.85145,1.35976,2.55633,7.7372,0.416662,2.0223,0.941566,0.00450497,0.0174827,3.82001,0,1,1,1,1,0,8.51739,16.1134,5.51919,3.33165,2.18754,1.39966,9.3e-05,0.023729,0.373729,1.3614,0.114352,138.874,0.467319,0.061368,0.362009,0.074564,0.000479
