"heuristic","graph","size","runtime","memusg"
"BURER2002","complete.txt",100,0.275696,1936
"FESTA2002G","complete.txt",100,0.275696,1940
"FESTA2002GPR","complete.txt",100,0.275696,1968
"FESTA2002VNS","complete.txt",100,0.275696,1872
"FESTA2002VNSPR","complete.txt",100,0.275696,1888
"FESTA2002GVNS","complete.txt",100,0.275696,1952
"FESTA2002GVNSPR","complete.txt",100,0.275696,1972
"DUARTE2005","complete.txt",100,0.275696,1960
"PALUBECKIS2004bMST1","complete.txt",100,0.275696,2136
"PALUBECKIS2004bMST2","complete.txt",100,0.275696,2136
"PALUBECKIS2004bMST3","complete.txt",100,0.275696,2136
"PALUBECKIS2004bMST4","complete.txt",100,0.275696,2288
"PALUBECKIS2004bMST5","complete.txt",100,0.275696,2536
"PALUBECKIS2004bSTS","complete.txt",100,0.275696,2136
"MERZ1999GLS","complete.txt",100,0.275696,2280
"MERZ1999MUTATE","complete.txt",100,0.275696,2432
"MERZ1999CROSS","complete.txt",100,0.275696,2432
"PALUBECKIS2006","complete.txt",100,0.275696,2136
"KATAYAMA2001","complete.txt",100,0.275696,2212
"LU2010","complete.txt",100,0.275696,2156
"PARDALOS2008","complete.txt",100,0.275696,2340
"GLOVER2010","complete.txt",100,0.275696,2228
"LAGUNA2009CE","complete.txt",100,0.275696,1872
"LAGUNA2009HCE","complete.txt",100,0.275696,1872
"BEASLEY1998SA","complete.txt",100,0.275696,2212
"BEASLEY1998TS","complete.txt",100,0.275696,2132
"MERZ2002GREEDY","complete.txt",100,0.275696,2136
"MERZ2002ONEOPT","complete.txt",100,0.275696,2136
"MERZ2002KOPT","complete.txt",100,0.275696,2136
"MERZ2002GREEDYKOPT","complete.txt",100,0.275696,2136
"KATAYAMA2000","complete.txt",100,0.275696,2200
"MERZ2004","complete.txt",100,0.275696,2312
"ALKHAMIS1998","complete.txt",100,0.275696,2216
"HASAN2000GA","complete.txt",100,0.275696,2276
"HASAN2000TS","complete.txt",100,0.275696,2136
"LODI1999","complete.txt",100,0.275696,2308
"GLOVER1998a","complete.txt",100,0.275696,2132
"BURER2002","complete.txt",300,3.434272,4624
"FESTA2002G","complete.txt",300,3.434272,5412
"FESTA2002GPR","complete.txt",300,3.434272,5412
"FESTA2002VNS","complete.txt",300,3.434272,4628
"FESTA2002VNSPR","complete.txt",300,3.434272,4884
"FESTA2002GVNS","complete.txt",300,3.434272,5416
"FESTA2002GVNSPR","complete.txt",300,3.434272,5412
"DUARTE2005","complete.txt",300,3.434272,5152
"PALUBECKIS2004bMST1","complete.txt",300,3.434272,7788
"PALUBECKIS2004bMST2","complete.txt",300,3.434272,7792
"PALUBECKIS2004bMST3","complete.txt",300,3.434272,7792
"PALUBECKIS2004bMST4","complete.txt",300,3.434272,8580
"PALUBECKIS2004bMST5","complete.txt",300,3.434272,12016
"PALUBECKIS2004bSTS","complete.txt",300,3.434272,7788
"MERZ1999GLS","complete.txt",300,3.434272,8320
"MERZ1999MUTATE","complete.txt",300,3.434272,8844
"MERZ1999CROSS","complete.txt",300,3.434272,8844
"PALUBECKIS2006","complete.txt",300,3.434272,7788
"KATAYAMA2001","complete.txt",300,3.434272,7792
"LU2010","complete.txt",300,3.434272,7788
"PARDALOS2008","complete.txt",300,3.434272,9108
"GLOVER2010","complete.txt",300,3.434272,8052
"LAGUNA2009CE","complete.txt",300,3.434272,4884
"LAGUNA2009HCE","complete.txt",300,3.434272,4620
"BEASLEY1998SA","complete.txt",300,3.434272,7788
"BEASLEY1998TS","complete.txt",300,3.434272,7788
"MERZ2002GREEDY","complete.txt",300,3.434272,7788
"MERZ2002ONEOPT","complete.txt",300,3.434272,7788
"MERZ2002KOPT","complete.txt",300,3.434272,7828
"MERZ2002GREEDYKOPT","complete.txt",300,3.434272,7788
"KATAYAMA2000","complete.txt",300,3.434272,8052
"MERZ2004","complete.txt",300,3.434272,8320
"ALKHAMIS1998","complete.txt",300,3.434272,8052
"HASAN2000GA","complete.txt",300,3.434272,8324
"HASAN2000TS","complete.txt",300,3.434272,7788
"LODI1999","complete.txt",300,3.434272,8316
"GLOVER1998a","complete.txt",300,3.434272,7788
"BURER2002","complete.txt",1000,57.287477,25488
"FESTA2002G","complete.txt",1000,57.287477,33488
"FESTA2002GPR","complete.txt",1000,57.287477,33704
"FESTA2002VNS","complete.txt",1000,57.287477,25548
"FESTA2002VNSPR","complete.txt",1000,57.287477,25892
"FESTA2002GVNS","complete.txt",1000,57.287477,33168
"FESTA2002GVNSPR","complete.txt",1000,57.287477,33688
"DUARTE2005","complete.txt",1000,57.287477,26740
"PALUBECKIS2004bMST1","complete.txt",1000,57.287477,50160
"PALUBECKIS2004bMST2","complete.txt",1000,57.287477,50160
"PALUBECKIS2004bMST3","complete.txt",1000,57.287477,49812
"PALUBECKIS2004bMST4","complete.txt",1000,57.287477,52420
"PALUBECKIS2004bMST5","complete.txt",1000,57.287477,96728
"PALUBECKIS2004bSTS","complete.txt",1000,57.287477,50164
"MERZ1999GLS","complete.txt",1000,57.287477,51048
"MERZ1999MUTATE","complete.txt",1000,57.287477,53028
"MERZ1999CROSS","complete.txt",1000,57.287477,52868
"PALUBECKIS2006","complete.txt",1000,57.287477,50160
"KATAYAMA2001","complete.txt",1000,57.287477,50040
"LU2010","complete.txt",1000,57.287477,50084
"PARDALOS2008","complete.txt",1000,57.287477,58168
"GLOVER2010","complete.txt",1000,57.287477,50112
"LAGUNA2009CE","complete.txt",1000,57.287477,27180
"LAGUNA2009HCE","complete.txt",1000,57.287477,25888
"BEASLEY1998SA","complete.txt",1000,57.287477,50008
"BEASLEY1998TS","complete.txt",1000,57.287477,50020
"MERZ2002GREEDY","complete.txt",1000,57.287477,49916
"MERZ2002ONEOPT","complete.txt",1000,57.287477,50004
"MERZ2002KOPT","complete.txt",1000,57.287477,49812
"MERZ2002GREEDYKOPT","complete.txt",1000,57.287477,49896
"KATAYAMA2000","complete.txt",1000,57.287477,50688
"MERZ2004","complete.txt",1000,57.287477,51612
"ALKHAMIS1998","complete.txt",1000,57.287477,50160
"HASAN2000GA","complete.txt",1000,57.287477,51296
"HASAN2000TS","complete.txt",1000,57.287477,50032
"LODI1999","complete.txt",1000,57.287477,51268
"GLOVER1998a","complete.txt",1000,57.287477,49860
"BURER2002","ER.txt",1000,1.60095,1952
"FESTA2002G","ER.txt",1000,1.60095,1876
"FESTA2002GPR","ER.txt",1000,1.60095,2264
"FESTA2002VNS","ER.txt",1000,1.60095,1856
"FESTA2002VNSPR","ER.txt",1000,1.60095,2188
"FESTA2002GVNS","ER.txt",1000,1.60095,1880
"FESTA2002GVNSPR","ER.txt",1000,1.60095,2304
"DUARTE2005","ER.txt",1000,1.60095,3124
"PALUBECKIS2004bMST1","ER.txt",1000,1.60095,2028
"PALUBECKIS2004bMST2","ER.txt",1000,1.60095,2056
"PALUBECKIS2004bMST3","ER.txt",1000,1.60095,2068
"PALUBECKIS2004bMST4","ER.txt",1000,1.60095,3452
"PALUBECKIS2004bMST5","ER.txt",1000,1.60095,2288
"PALUBECKIS2004bSTS","ER.txt",1000,1.60095,2028
"MERZ1999GLS","ER.txt",1000,1.60095,3392
"MERZ1999MUTATE","ER.txt",1000,1.60095,5064
"MERZ1999CROSS","ER.txt",1000,1.60095,5064
"PALUBECKIS2006","ER.txt",1000,1.60095,2056
"KATAYAMA2001","ER.txt",1000,1.60095,2068
"LU2010","ER.txt",1000,1.60095,2172
"PARDALOS2008","ER.txt",1000,1.60095,9432
"GLOVER2010","ER.txt",1000,1.60095,2236
"LAGUNA2009CE","ER.txt",1000,1.60095,3192
"LAGUNA2009HCE","ER.txt",1000,1.60095,2148
"BEASLEY1998SA","ER.txt",1000,1.60095,2068
"BEASLEY1998TS","ER.txt",1000,1.60095,2024
"MERZ2002GREEDY","ER.txt",1000,1.60095,2056
"MERZ2002ONEOPT","ER.txt",1000,1.60095,2028
"MERZ2002KOPT","ER.txt",1000,1.60095,2028
"MERZ2002GREEDYKOPT","ER.txt",1000,1.60095,2060
"KATAYAMA2000","ER.txt",1000,1.60095,2132
"MERZ2004","ER.txt",1000,1.60095,3656
"ALKHAMIS1998","ER.txt",1000,1.60095,2124
"HASAN2000GA","ER.txt",1000,1.60095,3452
"HASAN2000TS","ER.txt",1000,1.60095,2040
"LODI1999","ER.txt",1000,1.60095,3584
"GLOVER1998a","ER.txt",1000,1.60095,2052
"BURER2002","complete.txt",3000,795.509943,295892
"FESTA2002G","complete.txt",3000,795.509943,336336
"FESTA2002GPR","complete.txt",3000,795.509943,336748
"FESTA2002VNS","complete.txt",3000,795.509943,297432
"FESTA2002VNSPR","complete.txt",3000,795.509943,296668
"FESTA2002GVNS","complete.txt",3000,795.509943,336104
"FESTA2002GVNSPR","complete.txt",3000,795.509943,336980
"DUARTE2005","complete.txt",3000,795.509943,299548
"PALUBECKIS2004bMST1","complete.txt",3000,795.509943,540788
"PALUBECKIS2004bMST2","complete.txt",3000,795.509943,543068
"PALUBECKIS2004bMST3","complete.txt",3000,795.509943,542692
"PALUBECKIS2004bMST4","complete.txt",3000,795.509943,540932
"PALUBECKIS2004bMST5","complete.txt",3000,795.509943,951196
"PALUBECKIS2004bSTS","complete.txt",3000,795.509943,542320
"MERZ1999GLS","complete.txt",3000,795.509943,538848
"MERZ1999MUTATE","complete.txt",3000,795.509943,540080
"MERZ1999CROSS","complete.txt",3000,795.509943,541252
"PALUBECKIS2006","complete.txt",3000,795.509943,541448
"KATAYAMA2001","complete.txt",3000,795.509943,539932
"LU2010","complete.txt",3000,795.509943,540952
"PARDALOS2008","complete.txt",3000,795.509943,611704
"GLOVER2010","complete.txt",3000,795.509943,541308
"LAGUNA2009CE","complete.txt",3000,795.509943,297756
"LAGUNA2009HCE","complete.txt",3000,795.509943,299392
"BEASLEY1998SA","complete.txt",3000,795.509943,540112
"BEASLEY1998TS","complete.txt",3000,795.509943,539524
"MERZ2002GREEDY","complete.txt",3000,795.509943,540552
"MERZ2002ONEOPT","complete.txt",3000,795.509943,538948
"MERZ2002KOPT","complete.txt",3000,795.509943,541104
"MERZ2002GREEDYKOPT","complete.txt",3000,795.509943,543016
"KATAYAMA2000","complete.txt",3000,795.509943,540556
"MERZ2004","complete.txt",3000,795.509943,541684
"ALKHAMIS1998","complete.txt",3000,795.509943,541860
